Banco;ID;Emp;Tipo;Regra;Descricao;Debito;D-Terc;D-C/C;Credito;C-Terc;C-C/C;Historico
237;6274;9999;D;COM;SERVICO BB/ADVALOREM;1191201;;;#BCO;;;SERVICO BB/ADVALOREM
237;5780;9999;D;COM;SERVICO CARTAO PROTEGIDO;5713003;;;#BCO;;;SERVICO CARTAO PROTEGIDO
237;2;9999;D;COM;TAR;5713003;;;#BCO;;;TAR
237;4622;9999;D;COM;TAR ADIANT.DEPOSITANTE ADIANT.DEPOSITANTE;5713003;;;#BCO;;;TAR ADIANT.DEPOSITANTE ADIANT.DEPOSITANTE
237;5962;9999;D;COM;TAR ADIANT.DEPOSITANTE VR.PARCIAL ADIANT.DEPOSITANT;5713003;;;#BCO;;;TAR ADIANT.DEPOSITANTE VR.PARCIAL ADIANT.DEPOSITANT
237;12328;9999;D;COM;TAR.MANUT.C/C;5713003;;;#BCO;;;TAR.MANUT.C/C
237;3860;9999;D;COM;TARIFA BANCARIA;5713003;;;#BCO;;;TARIFA BANCARIA
237;4610;9999;D;COM;TARIFA CHEQUE DEPOSITO CHEQUE DEPOSITADO;5713003;;;#BCO;;;TARIFA CHEQUE DEPOSITO CHEQUE DEPOSITADO
237;4609;9999;D;COM;TARIFA MANUTENCAO C/C TAR.MANUT.C/C;5713003;;;#BCO;;;TARIFA MANUTENCAO C/C TAR.MANUT.C/C
237;5796;9999;D;COM;TARIFA OPERACAO CREDITO;5713003;;;#BCO;;;TARIFA OPERACAO CREDITO
237;6163;9999;D;COM;TARIFA RECIBO RETIRADA RETIRADA COM RECIBO AVULSO;5713003;;;#BCO;;;TARIFA RECIBO RETIRADA RETIRADA COM RECIBO AVULSO
